variant,best_metric_epoch,best_voc_mAP,ap50,ap75,coco_mAP,parameters,source_checkpoint,evaluation_task_id,file,size_bytes,sha256,train_log,eval_report,download_url
M,43,0.801512085581118,0.801512085581118,0.5461902417147235,0.5093775720896196,19064114,checkpoint0043.pth,519,rtdetrv2_obb_hgnetv2_m_dota_1_ms.pth,77127788,a01e166b85ad6b7a19390c26c6a1773350ae483c1d7ec7379f9658752b6d5b21,training_logs/rtdetrv2_obb/dota_1_ms/train/rtdetrv2_obb_hgnetv2_m_dota_1_ms.md,training_logs/rtdetrv2_obb/dota_1_ms/eval/rtdetrv2_obb_hgnetv2_m_dota_1_ms_eval.csv,https://huggingface.co/RicePasteM/RT-DETR-OBB/resolve/main/dota_1_ms/rtdetrv2_obb_hgnetv2_m_dota_1_ms.pth
X,33,0.807164858846086,0.807164858846086,0.5460585238126171,0.5086001183246764,63573540,checkpoint0033.pth,518,rtdetrv2_obb_hgnetv2_x_dota_1_ms.pth,255633982,034c52993da3cfb8d3643a44e69ea56d1907cdd6c8e7907590def041a5c57008,training_logs/rtdetrv2_obb/dota_1_ms/train/rtdetrv2_obb_hgnetv2_x_dota_1_ms.log,training_logs/rtdetrv2_obb/dota_1_ms/eval/rtdetrv2_obb_hgnetv2_x_dota_1_ms_eval.html,https://huggingface.co/RicePasteM/RT-DETR-OBB/resolve/main/dota_1_ms/rtdetrv2_obb_hgnetv2_x_dota_1_ms.pth
