epoch,result_id,status,submitted_at,completed_at,voc_mAP,ap50,ap75,coco_mAP,plane,baseball-diamond,bridge,ground-track-field,small-vehicle,large-vehicle,ship,tennis-court,basketball-court,storage-tank,soccer-ball-field,roundabout,harbor,swimming-pool,helicopter
10,3969,completed,2026-03-11T09:12:41,2026-03-11T09:23:46,0.6987199086830825,0.6987199086830825,0.38928452758982973,0.39502008169509506,0.7837423913642461,0.7956820657107708,0.4414013560964049,0.5288946435635853,0.7765862961246071,0.8156345666730267,0.8588473306559095,0.9009542376200057,0.8098316429040572,0.8182220619774279,0.4573339124233564,0.5884897731121252,0.6461403723556455,0.6721490490620377,0.5868889306030319
11,3970,completed,2026-03-11T09:12:51,2026-03-11T09:24:55,0.6995165854026281,0.6995165854026281,0.39971737622855347,0.4013945134154128,0.7980159799695246,0.7717707248718682,0.46020903275657477,0.5217366291337721,0.7838389467510136,0.8170084948761559,0.8593995037150598,0.8999281809297067,0.8223906747257926,0.8151441311083014,0.4572742421540958,0.5987427108266619,0.6491716023822974,0.6749459997060289,0.563171927132566
12,3971,completed,2026-03-11T09:12:59,2026-03-11T09:26:04,0.7034888769464835,0.7034888769464835,0.40459868602643806,0.40398417884116683,0.7997573035559408,0.7782485568773028,0.4662368695421893,0.5166147799943139,0.7886697648975322,0.820894051857198,0.8608741978806481,0.8993949499431183,0.8277892472577714,0.8169241936513176,0.5048199947923824,0.5952806951720847,0.6517004481174049,0.6712905469513134,0.5538375537067376
13,3972,completed,2026-03-11T09:13:06,2026-03-11T09:27:13,0.7103581830191315,0.7103581830191315,0.40083459276381755,0.40700170713050926,0.7999825674635596,0.7846021872760255,0.46692970896772507,0.5377953012379405,0.7905355857504699,0.8223754204522132,0.862793004506953,0.8991862338409544,0.8306467709072163,0.8229555134677365,0.48547755476159327,0.5878533834695802,0.6521308142003663,0.6679018769397954,0.6442068220448408
14,3973,completed,2026-03-11T09:13:14,2026-03-11T09:28:22,0.7137023721770984,0.7137023721770984,0.4102936238115225,0.41145983052177637,0.7986895862263558,0.7879548144512716,0.47266839368254554,0.545508898620396,0.7939419324514562,0.8260922272788531,0.8660550862113746,0.8996873433171122,0.8349697191500307,0.8260171647579407,0.48201740673763044,0.592734349851635,0.654301099127486,0.66377687965434,0.6611206811380475
15,3974,completed,2026-03-11T09:13:21,2026-03-11T09:29:32,0.7169551934518349,0.7169551934518349,0.41891799780789113,0.417197928645279,0.8016260563916291,0.7951684724390394,0.47839370208751775,0.5596583497190403,0.7966489881441967,0.8279939819396028,0.8674626215118474,0.8997182559425148,0.8398076539726328,0.8281587714338202,0.4853620422708846,0.5988663970900585,0.656895592990689,0.6670817187775347,0.6514852970665163
16,3975,completed,2026-03-11T09:13:27,2026-03-11T09:30:42,0.7188772379993051,0.7188772379993051,0.4218080792990059,0.4201229868118534,0.7944020158810541,0.7908761278761554,0.48157532512720114,0.5586529483338749,0.7977542043244387,0.8284449100634252,0.8675956268915743,0.8996018910066352,0.8351725835715105,0.8304212229588043,0.4841258998725142,0.6065661454871469,0.6873264645241626,0.674691737334024,0.6459514667370554
17,3976,completed,2026-03-11T09:13:35,2026-03-11T09:32:00,0.7231315802984819,0.7231315802984819,0.42180500627557654,0.4229727482689559,0.7960202485365122,0.8023720712095961,0.4875647736644604,0.5655550852251863,0.8022481580798002,0.8311716768675866,0.8685170495555503,0.8996695668047309,0.8381550544554105,0.830328387589875,0.48195863859614957,0.6144560334233242,0.7032220187558518,0.6773768517267276,0.6483580899864698
18,3977,completed,2026-03-11T09:13:43,2026-03-11T09:33:10,0.7264608563607718,0.7264608563607718,0.42456741620629684,0.42567768012671064,0.8009536309727047,0.8052171260046759,0.49394251500053116,0.5785323345274302,0.8026264145278063,0.831972860792089,0.8683646362500119,0.8998449841238711,0.842375697906201,0.83045109685088,0.4996873854626327,0.6160687735130087,0.7052123076338314,0.6777675969478919,0.6438954848980145
19,3978,completed,2026-03-11T09:13:50,2026-03-11T09:34:19,0.7286523934252728,0.7286523934252728,0.42468702630039085,0.42406647548908116,0.804732036798246,0.8077197349089591,0.4940194946148997,0.5798042307542146,0.8047665838456167,0.8332927088148854,0.8694817480327611,0.9006378836968791,0.8415259724882388,0.8311159934814628,0.5031264853091937,0.6252272980577255,0.7149220675272084,0.6822869693488371,0.6371266936999633
20,3979,completed,2026-03-11T09:13:58,2026-03-11T09:35:35,0.7288472582504117,0.7288472582504117,0.42649033777918827,0.4282297358258578,0.7977190169430048,0.8047896529178681,0.497557704810108,0.5841514074017037,0.805419089523973,0.8355158990824455,0.8692071547893093,0.9010644363637619,0.8313672842110964,0.8325005889019407,0.5055936009609501,0.6047154712847013,0.7212637505151647,0.6811758503862667,0.660667965663882
21,3980,completed,2026-03-11T09:14:10,2026-03-11T09:37:21,0.7317665026182236,0.7317665026182236,0.43594761526935344,0.43176547372980456,0.7999177865956602,0.8025255556034356,0.503838842639858,0.5934462294623,0.8077866684304771,0.8380408286604465,0.8705725952872012,0.901213169297744,0.8390917862072012,0.8349530547623767,0.4833714896280829,0.6116655154024796,0.7275712040141225,0.6819039516819345,0.6805988616000356
22,3981,completed,2026-03-11T09:14:21,2026-03-11T09:38:34,0.7366338561505567,0.7366338561505567,0.437876954969635,0.43446714751544224,0.8066750249870773,0.8047744050800705,0.5090295978165016,0.6256141215994606,0.8074494849413031,0.8382053258513498,0.8711622320927057,0.9017686811782676,0.8393997202008489,0.8384945066248986,0.4898569111008198,0.6134932322966345,0.7309936900447238,0.6871583415649802,0.6854325668787087
23,3982,completed,2026-03-11T09:14:29,2026-03-11T09:39:44,0.7391649577518208,0.7391649577518208,0.43943622965531054,0.43630188678541587,0.8097661236177163,0.807896206587793,0.5143756606740896,0.6438869206006801,0.8096345318794732,0.8385287313774047,0.8720295407393992,0.9021281956977094,0.8440003033768938,0.8398230007337433,0.49375100302049896,0.6115077643827818,0.7389566206268564,0.6882682952688173,0.6729214676934544
