epoch,result_id,status,submitted_at,completed_at,voc_mAP,ap50,ap75,coco_mAP,plane,baseball-diamond,bridge,ground-track-field,small-vehicle,large-vehicle,ship,tennis-court,basketball-court,storage-tank,soccer-ball-field,roundabout,harbor,swimming-pool,helicopter
0,4714,completed,2026-03-17T15:28:11,2026-03-17T15:29:14,0.41318861499060966,0.41318861499060966,0.1181999100570822,0.17616569027942838,0.6047476048710264,0.48249229622119644,0.16475981409353208,0.17600917601998423,0.5687489358299384,0.48930039428034133,0.6145837582697792,0.838731718035056,0.45998077100264323,0.6042847026246059,0.006585963719874517,0.46701533259416805,0.1552715837621498,0.46991247674225367,0.09540469679259563
2,4715,completed,2026-03-17T15:28:18,2026-03-17T15:30:02,0.41318861499060966,0.41318861499060966,0.1181999100570822,0.17616569027942838,0.6047476048710264,0.48249229622119644,0.16475981409353208,0.17600917601998423,0.5687489358299384,0.48930039428034133,0.6145837582697792,0.838731718035056,0.45998077100264323,0.6042847026246059,0.006585963719874517,0.46701533259416805,0.1552715837621498,0.46991247674225367,0.09540469679259563
4,4716,completed,2026-03-17T15:28:27,2026-03-17T15:31:20,0.5790598400191802,0.5790598400191802,0.27300699494190817,0.30290110643964796,0.7697607246132883,0.6085528683541593,0.33147544310430166,0.44472091825205795,0.5907166059486917,0.7021220154866497,0.8286157473628344,0.8959853039298489,0.7622715951040041,0.7653544681900689,0.32755605687289974,0.48169026093186945,0.4859170776020531,0.5446975753857144,0.14646093914926123
6,4717,completed,2026-03-17T15:28:35,2026-03-17T15:32:28,0.6258790135936159,0.6258790135936159,0.3193856827554594,0.34160706011317343,0.7767740139017969,0.6321930703529162,0.3725789459181131,0.5149571833965735,0.6348590123496067,0.7500514111293811,0.8437382541592143,0.8892242964359547,0.7477589042497236,0.7904020143831233,0.3434546277413637,0.509245700518639,0.523278110659736,0.5927045631739677,0.46696509553413007
8,4718,completed,2026-03-17T15:28:43,2026-03-17T15:33:34,0.6546405730853266,0.6546405730853266,0.34623529526352137,0.36430040915115475,0.8100588558130668,0.6615686639058512,0.396497775697692,0.5592184507223791,0.7131565717038101,0.7914812861087976,0.8475261205312121,0.8898620884966562,0.799850042290305,0.8017203992952889,0.3711637439688504,0.5444388846702731,0.5983354403800407,0.5858719085249012,0.44885836417077624
10,4719,completed,2026-03-17T15:28:51,2026-03-17T15:34:52,0.6703720378087864,0.6703720378087864,0.36608177093418526,0.3771148644564857,0.8092249767396225,0.7125075904913083,0.4158836691799056,0.5778329499836469,0.7600168763497778,0.7916643654266535,0.857719617324763,0.8891418837279053,0.8296678364338439,0.8063866197056092,0.39028768170720907,0.5617578181620204,0.6250824786889362,0.5922209515668839,0.4361852516437119
12,4720,completed,2026-03-17T15:28:59,2026-03-17T15:36:00,0.6825421122932857,0.6825421122932857,0.37428964728445424,0.3873095877630144,0.8049271894819644,0.7622271208094172,0.4418154813445106,0.5844272716434735,0.7665702075965635,0.797189957342604,0.8628326870147576,0.8936934103662121,0.8356121686689089,0.8128155071174863,0.41712145536320444,0.586367170889614,0.6281997651835739,0.6028996788543031,0.44143261272269074
14,4721,completed,2026-03-17T15:29:07,2026-03-17T15:37:18,0.6896288592665567,0.6896288592665567,0.3789535442108882,0.3916456850517861,0.8123755436437007,0.7682751460915433,0.4563143529044612,0.5630691294123952,0.7768725044880158,0.8052094304305308,0.8651579564511376,0.8949598234398926,0.8254679994595687,0.8204650311312285,0.43233439552377045,0.583297420914234,0.6402066751900414,0.6065032046799083,0.493924275237921
16,4722,completed,2026-03-17T15:29:14,2026-03-17T15:38:37,0.6962758433601424,0.6962758433601424,0.38444228986491685,0.3958920750358258,0.8103078964917286,0.7565336652390383,0.46013477885885473,0.5877037163612031,0.7835458448544019,0.811964383592012,0.865283133623288,0.8946634426432016,0.8308789419799366,0.8242794394924409,0.4450644052789148,0.5909350106665623,0.6464680811539922,0.6118260949785915,0.5245488151879687
18,4723,completed,2026-03-17T15:29:22,2026-03-17T15:39:43,0.7032023348247315,0.7032023348247315,0.3898449223883514,0.4034961229428216,0.8084298906963233,0.7607621965348517,0.47211464231541034,0.5900054967440845,0.7877353959311179,0.8164041829589775,0.8660792348956888,0.8953865469833011,0.8299729212407465,0.8279045818645262,0.44938324865250984,0.6215522032855119,0.6533975454400966,0.6236644793717737,0.5452424554560509
20,4724,completed,2026-03-17T15:29:30,2026-03-17T15:40:48,0.7096505387646032,0.7096505387646032,0.3920344816727306,0.40677562791219346,0.8077150030065436,0.7546017864887248,0.47618324134463813,0.6092646620834034,0.7892737069960167,0.8196476135900874,0.8681913555436359,0.8975420550113083,0.8334334547779383,0.8296999998402053,0.47877419728186166,0.6259067216819899,0.6602521568788412,0.6296476660168662,0.5646244609269883
22,4725,completed,2026-03-17T15:29:37,2026-03-17T15:42:07,0.71844594958231,0.71844594958231,0.40178276546806313,0.4126651496231163,0.8131959620077179,0.7594235331142914,0.47973986733285934,0.6266068210456348,0.7944192421613888,0.8251107906200135,0.8700784696157705,0.8991171412538457,0.8420778363526843,0.8310306362484003,0.4928882931308033,0.6293482607283167,0.6894137545948839,0.6333837617974869,0.5908548737305502
24,4726,completed,2026-03-17T15:29:45,2026-03-17T15:43:12,0.7259379287688221,0.7259379287688221,0.4072822536170328,0.4156561542839053,0.8129319388159303,0.7721730048648372,0.4937053902764873,0.6432092021766546,0.7974103210806495,0.827732025463363,0.8714101451656464,0.900648024751107,0.8444294788769781,0.8329171404544451,0.48786557817516957,0.6424479730370557,0.7083984626059829,0.6502108936936738,0.6035793520943525
26,4727,completed,2026-03-17T15:29:52,2026-03-17T15:44:19,0.7280886692882057,0.7280886692882057,0.41821244344503394,0.42217088719709234,0.8114182769157829,0.7793380763609453,0.4953388748737634,0.6282200273505334,0.7987826906118899,0.8288506632337269,0.872068592266165,0.9019430099871989,0.8432318133249318,0.8361662875495087,0.48352013594650844,0.6476901392019259,0.7257828879629812,0.6577342532626246,0.6112443104745997
