epoch,result_id,status,submitted_at,completed_at,voc_mAP,ap50,ap75,coco_mAP,plane,baseball-diamond,bridge,ground-track-field,small-vehicle,large-vehicle,ship,tennis-court,basketball-court,storage-tank,soccer-ball-field,roundabout,harbor,swimming-pool,helicopter
0,4231,completed,2026-03-11T22:04:00,2026-03-11T22:05:59,0.053784208447025715,0.053784208447025715,0.002284594216710811,0.014097758141646016,0.27272049948226096,0.0043016943697212606,3.516792685071215e-05,0.00014615609470914936,0.06579593948015,0.0008165785359344347,0.022727272727272728,0.19626241970718836,0.00012591286829513975,0.10437223447418528,0.0001859081613682841,0.014868977215321738,0.0035236081747709656,0.12030538349426124,0.0005753739930955121
2,4232,completed,2026-03-11T22:04:05,2026-03-11T22:07:18,0.41580219001243063,0.41580219001243063,0.11065724887788318,0.17050773938624286,0.7490544421938589,0.46435722771541227,0.1960156943162018,0.30459896245777895,0.5541738094446517,0.41502298895756556,0.4780106198680104,0.766724778383577,0.37096715994686125,0.4509389741094195,0.06690845630055661,0.5161588977720747,0.21386472012812138,0.42581252056063923,0.26442359803172955
4,4233,completed,2026-03-11T22:04:18,2026-03-11T22:08:45,0.4218354019079005,0.4218354019079005,0.13443134983113417,0.1875287199922229,0.6756509981025741,0.45532412093367747,0.1761012066349506,0.20717618282277137,0.405218394679867,0.3992506572162447,0.5795655846404253,0.8861693771846187,0.5049816306700567,0.5518040789948055,0.06662847135579752,0.4310752787171225,0.23541717108712235,0.4659025624128198,0.28726531316565335
6,4234,completed,2026-03-11T22:04:29,2026-03-11T22:10:00,0.48448822187101237,0.48448822187101237,0.17485020038917617,0.22609864165866428,0.7027095261790388,0.5276437631144177,0.2532915249939845,0.31182589055501553,0.547826031271402,0.5047356638381861,0.699487111594642,0.8784036331201511,0.5782700753645064,0.6230944419027362,0.13590348900291213,0.43885942792390226,0.37487294686426675,0.4892394348285041,0.20116036751152094
8,4235,completed,2026-03-11T22:04:43,2026-03-11T22:11:56,0.5219019717226094,0.5219019717226094,0.20138508522253498,0.2539432532955794,0.7235784871111093,0.6026711977606574,0.2745852751526245,0.36081657534488215,0.6081886967426523,0.5947968441055969,0.738715321681637,0.8922135540769878,0.606904380747298,0.6622936536893759,0.12713488606290496,0.47294628241172154,0.40213772298709827,0.5103292963778755,0.2512174015867206
10,4236,completed,2026-03-11T22:05:01,2026-03-11T22:13:25,0.5563970566802815,0.5563970566802815,0.22567680263125922,0.27543067864327125,0.7448027399799348,0.6109867055160023,0.28651614314415674,0.4095683289263799,0.6517481285136676,0.6374488163937729,0.7585021445295315,0.8961913589448236,0.6855555562468229,0.7134142163164745,0.18624548210510283,0.48587551953116903,0.46766184749033385,0.4872624306556645,0.3241764319103852
12,4237,completed,2026-03-11T22:05:05,2026-03-11T22:14:52,0.5668179185918388,0.5668179185918388,0.2356452994809164,0.2831441867654104,0.7698685796149887,0.6048161517870269,0.302955585792265,0.40681190636039233,0.6772183266437328,0.6541233496695579,0.7649311612016144,0.8971079325300545,0.7075867773707261,0.7431137041784561,0.22108567899614676,0.4977603480385841,0.47962870163015636,0.4989680833991258,0.27629249166475267
14,4238,completed,2026-03-11T22:05:10,2026-03-12T09:12:41,0.580667530675232,0.580667530675232,0.2550083550116913,0.2928677293314287,0.7664536903793939,0.616928319086042,0.32238936871835316,0.40824150965934647,0.686007160314278,0.6634003465739753,0.7682540050688115,0.8977564235145696,0.7027801298095822,0.7431116068135799,0.313260679681825,0.5091542959841177,0.49445291410254044,0.5199854105955507,0.29783709982651446
16,4239,completed,2026-03-11T22:05:14,2026-03-11T22:17:41,0.5887486925368827,0.5887486925368827,0.2519132518373313,0.29734873855339244,0.7747979431621931,0.6209944020877447,0.3280106187913925,0.41860632138815007,0.6961291387678216,0.6709144387293988,0.7713230006400905,0.8983310651983533,0.6998924910171539,0.7464861883583771,0.3388073216305845,0.5312679863852101,0.5076065088108226,0.5179299523008037,0.3101330107851442
18,4240,completed,2026-03-11T22:05:38,2026-03-11T22:18:49,0.5563970566802815,0.5563970566802815,0.22567680263125922,0.27543067864327125,0.7448027399799348,0.6109867055160023,0.28651614314415674,0.4095683289263799,0.6517481285136676,0.6374488163937729,0.7585021445295315,0.8961913589448236,0.6855555562468229,0.7134142163164745,0.18624548210510283,0.48587551953116903,0.46766184749033385,0.4872624306556645,0.3241764319103852
20,4241,completed,2026-03-11T22:06:06,2026-03-11T22:20:51,0.608918705726586,0.608918705726586,0.2729170651379604,0.3127657380263146,0.7870294199322382,0.6515394927243121,0.3446856051622276,0.42829443293213304,0.7055325849152093,0.6848269176724995,0.7770174491769914,0.8990637855298306,0.7275943655529283,0.7684050064898864,0.3688202201234213,0.559752148573002,0.5251892540541402,0.531906140224258,0.37412376283571197
22,4242,completed,2026-03-11T22:06:24,2026-03-11T22:22:05,0.6183971291848829,0.6183971291848829,0.2828568630429305,0.320934706013801,0.7935157055844257,0.6884681004539118,0.3517448792753342,0.4390437080580311,0.7097826500148031,0.6921213283325439,0.778870991198879,0.9003413566648708,0.7299267109814509,0.7765646262167666,0.38378196013744403,0.5751271053802578,0.5296153494958283,0.5441026253239626,0.38294984065473414
24,4243,completed,2026-03-11T22:06:28,2026-03-11T22:23:23,0.6301079384589786,0.6301079384589786,0.29201693247231414,0.3280642452889654,0.789921195655625,0.676504568997263,0.35919648072720256,0.45634548054915136,0.732964605412663,0.6999513289985606,0.8329401735844948,0.9012553032302868,0.736905733127075,0.7823419405051968,0.4079035505432493,0.5781133740568949,0.5365445643782113,0.5529889109905165,0.4077418661282886
