epoch,result_id,status,submitted_at,completed_at,voc_mAP,ap50,ap75,coco_mAP,plane,baseball-diamond,bridge,ground-track-field,small-vehicle,large-vehicle,ship,tennis-court,basketball-court,storage-tank,soccer-ball-field,roundabout,harbor,swimming-pool,helicopter
0,4328,completed,2026-03-12T15:04:20,2026-03-12T15:21:45,0.4741304984806885,0.4741304984806885,0.1459144065859102,0.20657373706638887,0.6556715932227907,0.4906668663995682,0.20222118971906827,0.19468861086851535,0.6472432146379873,0.5799053452724038,0.7433123930805564,0.8929974511593907,0.4807996890859929,0.7992091466477814,0.02572316604211285,0.4776039816984917,0.3119939487544297,0.5377841329792389,0.0721367476420006
2,4329,completed,2026-03-12T15:04:26,2026-03-12T15:22:46,0.6336870782165042,0.6336870782165042,0.32982357764093223,0.34623773727997414,0.8434280010884767,0.5836623236473251,0.39527589128622603,0.4185926840379785,0.7718886808317834,0.7429305341575583,0.8626977423232343,0.9049509322950545,0.8086173619790329,0.826006465988319,0.21394060481546556,0.5274898671550495,0.5384011361225899,0.5943938766033662,0.4730300709161043
4,4330,completed,2026-03-12T15:04:33,2026-03-12T15:24:20,0.623275414966688,0.623275414966688,0.3267032613583554,0.3418445796758374,0.7824435171403652,0.6694990735836953,0.3978419167719432,0.40044833736694263,0.6411948346980624,0.7714599635673999,0.842619078449105,0.8964537978833054,0.8235664252564708,0.7939047151892837,0.3131894940093094,0.4515555947758925,0.5838586318967348,0.6148964409815753,0.3661994029302371
6,4331,completed,2026-03-12T15:04:41,2026-03-12T15:25:30,0.6706132824299103,0.6706132824299103,0.35442793476941603,0.37304130542020586,0.8107450870161585,0.7377816362263312,0.41004904988223134,0.45874354392294314,0.755070776002106,0.7924630376654254,0.8599533884538273,0.8968565554539768,0.8308354316820241,0.7991964801331987,0.426079093364313,0.5414940907112495,0.627843627067171,0.5760836771737822,0.5360037616939155
8,4332,completed,2026-03-12T15:04:48,2026-03-12T15:26:39,0.7053634719784504,0.7053634719784504,0.41758814492106977,0.40888359860965207,0.8049890628452424,0.7988448619109135,0.4494068336455325,0.5467576239292303,0.7872639036884052,0.8047916253543577,0.862410828289866,0.8952063222198059,0.8347322522750149,0.8307618521493557,0.4512520731426125,0.6206416598287512,0.6461832475443288,0.6531922943111378,0.5940176385422015
10,4333,completed,2026-03-12T15:04:55,2026-03-12T15:28:02,0.7147847620816523,0.7147847620816523,0.4208667290682749,0.41943090771500646,0.8118881269648778,0.779894490940495,0.48492858974578446,0.5330108731809995,0.7994029959690956,0.827161401012523,0.8662742543960501,0.895243120997623,0.8533779530825841,0.8390025814492389,0.5139310916572639,0.5638808645440134,0.664056842681438,0.6612639765322906,0.6284542680705059
12,4334,completed,2026-03-12T15:05:03,2026-03-12T15:29:14,0.7287291710496806,0.7287291710496806,0.43335454411264074,0.4288514433147455,0.8120766156723989,0.7755470992432661,0.49226474763322425,0.5768256831493607,0.8047923798570251,0.8378315213664199,0.8678314080863805,0.896474705517283,0.8557735802688159,0.8375593018932465,0.5554338499645427,0.6369960661389118,0.7190648758940017,0.6730416465894269,0.5894240844709066
14,4335,completed,2026-03-12T15:05:11,2026-03-12T15:30:37,0.7342048717669493,0.7342048717669493,0.44565665345540384,0.4384398795246717,0.8106906388494185,0.7831035324119222,0.5072195350346808,0.6059038384182452,0.8052637146024427,0.8411458451651214,0.8669306040923226,0.896153502790701,0.8594350491441708,0.84304554218116,0.5764098215793737,0.6353251499187395,0.7208305635167505,0.6837340272402384,0.5778817115589531
16,4336,completed,2026-03-12T15:05:20,2026-03-12T15:31:37,0.7147847620816523,0.7147847620816523,0.4208667290682749,0.41943090771500646,0.8118881269648778,0.779894490940495,0.48492858974578446,0.5330108731809995,0.7994029959690956,0.827161401012523,0.8662742543960501,0.895243120997623,0.8533779530825841,0.8390025814492389,0.5139310916572639,0.5638808645440134,0.664056842681438,0.6612639765322906,0.6284542680705059
18,4337,completed,2026-03-12T15:05:28,2026-03-12T15:33:02,0.7439326500284417,0.7439326500284417,0.457269967098837,0.4470747194231423,0.8026720661584188,0.8053010299523011,0.5188495422202135,0.6475704026103609,0.8073279628284198,0.8455072618884669,0.8639747328823488,0.8965721580804983,0.8639769758011842,0.8498264009542984,0.5575195247082341,0.6314702243346365,0.7321500216731351,0.689438737396968,0.6468327089371418
